"id","code_prefix_start","code_prefix_end","name","name@es"
"py_accgrp_510306","5.1.03.06","","REPARACION Y MANTENIMIENTO","REPARACION Y MANTENIMIENTO"
"py_accgrp_510307","5.1.03.07","","GASTOS DE MOVILIDAD","GASTOS DE MOVILIDAD"
"py_accgrp_510308","5.1.03.08","","IMPUESTOS, PATENTES Y TASAS","IMPUESTOS, PATENTES Y TASAS"
"py_accgrp_510309","5.1.03.09","","GASTOS VARIOS","GASTOS VARIOS"
"py_accgrp_5104","5.1.04","","GASTOS NO DED. AMORTIZ, DEPRECIACIONES","GASTOS NO DED. AMORTIZ, DEPRECIACIONES"
"py_accgrp_510401","5.1.04.01","","GASTOS NO DEDUCIBLES","GASTOS NO DEDUCIBLES"
"py_accgrp_510402","5.1.04.02","","AMORTIZACIONES","AMORTIZACIONES"
"py_accgrp_510403","5.1.04.03","","DEPRECIACIONES","DEPRECIACIONES"
"py_accgrp_5105","5.1.05","","COSTOS DE VENTAS","COSTOS DE VENTAS"
"py_accgrp_510501","5.1.05.01","","COSTOS DE VENTAS","COSTOS DE VENTAS"
"py_accgrp_6","6","","CUENTAS PUENTES","CUENTAS PUENTES"
"py_accgrp_61","6.1","","CUENTAS PUENTES","CUENTAS PUENTES"
"py_accgrp_6101","6.1.01","","CUENTAS PUENTES","CUENTAS PUENTES"
"py_accgrp_610101","6.1.01.01","","CUENTAS PUENTES","CUENTAS PUENTES"
